Dia,Hora,Latitud Central,Longitud Central,Tipo de Via,Congestion
Thursday,12:23,-12.07669725,-77.0930737,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.0768716,-77.09321665,Avenida Rafael Escardó,low
Thursday,12:23,-12.07669725,-77.0930737,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.076906650000002,-77.0925053,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.076104149999999,-77.0927472,Avenida Rafael Escardó,low
Thursday,12:23,-12.07669725,-77.0930737,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.0768716,-77.09321665,Avenida Rafael Escardó,low
Thursday,12:23,-12.07669725,-77.0930737,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.076906650000002,-77.0925053,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.076104149999999,-77.0927472,Avenida Rafael Escardó,low
Thursday,12:23,-12.077176999999999,-77.0933602,Avenida Rafael Escardó,low
Thursday,12:23,-12.0770689,-77.09352435,Avenida La Marina,low
Thursday,12:23,-12.07737475,-77.09345619999999,Avenida Rafael Escardó,low
Thursday,12:23,-12.07718265,-77.093639,Avenida de La Marina,low
Thursday,12:23,-12.077074549999999,-77.09380315,Avenida de La Marina,unknown
Thursday,12:23,-12.077003300000001,-77.093955,Avenida de La Marina,low
Thursday,12:23,-12.07748415,-77.09344185,Avenida de La Marina,low
Thursday,12:23,-12.077772549999999,-77.09360615,Avenida Rafael Escardó,low
Thursday,12:23,-12.07700455,-77.09401564999999,Avenida de La Marina,low
Thursday,12:23,-12.0774251,-77.09334469999999,Avenida Rafael Escardó,low
Thursday,12:23,-12.077598349999999,-77.09313255,Avenida de La Marina,low
Thursday,12:23,-12.0773157,-77.09335905,Avenida de La Marina,low
Thursday,12:23,-12.07669725,-77.0930737,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.0768716,-77.09321665,Avenida Rafael Escardó,low
Thursday,12:23,-12.07669725,-77.0930737,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.076906650000002,-77.0925053,Avenida Luis Banchero Rossi,unknown
Thursday,12:23,-12.076104149999999,-77.0927472,Avenida Rafael Escardó,low
Thursday,12:23,-12.077176999999999,-77.0933602,Avenida Rafael Escardó,low
Thursday,12:24,-12.0770689,-77.09352435,Avenida La Marina,low
Thursday,12:24,-12.07737475,-77.09345619999999,Avenida Rafael Escardó,low
Thursday,12:24,-12.07718265,-77.093639,Avenida de La Marina,low
Thursday,12:24,-12.077074549999999,-77.09380315,Avenida de La Marina,unknown
Thursday,12:24,-12.077003300000001,-77.093955,Avenida de La Marina,low
Thursday,12:24,-12.07748415,-77.09344185,Avenida de La Marina,low
Thursday,12:24,-12.077772549999999,-77.09360615,Avenida Rafael Escardó,low
Thursday,12:24,-12.07700455,-77.09401564999999,Avenida de La Marina,low
Thursday,12:24,-12.0774251,-77.09334469999999,Avenida Rafael Escardó,low
Thursday,12:24,-12.077598349999999,-77.09313255,Avenida de La Marina,low
Thursday,12:24,-12.0773157,-77.09335905,Avenida de La Marina,low
Thursday,12:24,-12.077224300000001,-77.09325215,Avenida Rafael Escardó,low
Thursday,12:24,-12.07714325,-77.09182095,Avenida Luis Banchero Rossi,unknown
Thursday,12:24,-12.076906650000002,-77.0925053,Avenida Luis Banchero Rossi,unknown
Thursday,12:24,-12.0767643,-77.0945277,Avenida de La Marina,low
Thursday,12:24,-12.0770856,-77.0932533,Avenida de La Marina,low
Thursday,12:24,-12.07691125,-77.09311035,Avenida Rafael Escardó,low
Thursday,12:24,-12.07536725,-77.0924217,Avenida Rafael Escardó,low
Thursday,12:24,-12.07785565,-77.09204545,Avenida de La Marina,low
Thursday,12:24,-12.0777967,-77.0935498,Avenida Rafael Escardó,low
Thursday,12:24,-12.078483299999998,-77.0938903,Avenida Rafael Escardó,low
Thursday,12:24,-12.077243450000001,-77.0914247,Avenida Luis Banchero Rossi,unknown
